Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
0;0;0
5;0.0;0.0
10;0.154;0.0
15;0.462;0.0
20;0.462;0.0
25;0.615;0.462
30;0.615;0.615
35;0.769;0.615
40;0.769;0.615
45;0.923;0.615
50;1.077;0.769
55;1.231;0.769
60;1.385;1.077
65;1.692;1.077
70;1.692;1.385
75;1.846;1.385
80;1.846;1.385
85;1.846;1.538
90;1.846;1.538
95;1.846;1.538
100;2.154;1.538
105;2.308;1.538
110;2.462;1.846
115;2.615;2.154
120;2.615;2.154
125;2.923;2.154
130;3.077;2.154
135;3.385;2.308
140;3.385;2.308
145;3.385;2.462
150;3.538;2.462
155;3.846;2.462
160;3.846;2.462
165;4.0;2.769
170;4.154;2.923
175;4.308;3.231
180;4.462;3.231
185;4.462;3.538
190;4.615;3.538
195;4.615;3.846
200;4.615;4.0
205;4.615;4.0
210;4.769;4.0
215;4.769;4.308
220;4.923;4.615
225;5.077;4.615
230;5.385;4.615
235;5.385;4.769
240;5.385;5.231
245;5.538;5.231
250;5.846;5.077
255;6.0;5.077
260;6.0;5.538
265;6.0;5.538
270;6.154;5.538
275;6.615;5.692
280;6.615;5.846
285;6.615;5.846
290;6.769;5.846
295;6.769;5.846
300;6.769;5.692
305;6.769;6.0
310;6.923;6.154
315;6.923;6.308
320;6.923;6.308
325;7.077;6.308
330;7.231;6.308
335;7.385;6.462
340;7.385;6.462
345;7.385;6.615
350;7.385;6.769
355;7.385;6.769
360;7.385;6.769
365;7.385;7.077
370;7.692;7.231
375;8.0;7.077
380;8.0;7.077
385;8.0;7.231
390;8.462;7.231
395;8.462;7.077
400;8.769;7.077
405;8.769;7.231
410;8.923;7.231
415;8.923;7.231
420;9.231;7.385
425;9.385;7.692
430;9.692;7.692
435;10.0;7.846
440;10.0;7.846
445;10.462;7.846
450;10.462;8.154
455;10.462;8.154
460;10.615;8.308
465;10.923;8.308
470;10.923;8.462
475;10.923;8.769
480;11.077;8.769
485;11.231;8.769
490;11.231;8.615
495;11.385;8.769
500;11.385;8.769
505;11.385;8.769
510;11.538;9.077
515;11.692;9.077
520;11.846;9.231
525;12.154;9.385
530;12.154;9.385
535;12.308;9.231
540;12.462;9.385
545;12.615;9.385
550;12.769;9.385
555;12.769;9.846
560;12.769;10.0
565;12.769;10.0
570;12.769;10.154
575;12.923;10.462
580;13.077;10.308
585;13.077;10.462
590;13.231;10.615
595;13.385;10.769
600;13.385;10.923
605;13.538;10.923
610;13.692;11.077
615;14.0;11.077
620;13.846;11.077
625;14.0;11.077
630;13.846;11.077
635;14.0;11.231
640;14.154;11.538
645;14.154;11.538
650;14.308;11.538
655;14.462;11.538
660;14.615;11.846
665;14.615;11.846
670;14.769;12.0
675;15.077;12.0
680;15.231;12.0
685;15.231;12.154
690;15.231;12.462
695;15.231;12.462
700;15.231;12.462
705;15.385;12.308
710;15.385;12.308
715;15.385;12.308
720;15.538;12.308
725;15.538;12.615
730;15.538;12.923
735;15.692;13.077
740;15.692;13.077
745;15.692;13.077
750;15.846;12.769
755;16.0;12.769
760;16.154;12.923
765;16.154;13.077
770;16.308;13.077
775;16.308;13.077
780;16.308;13.385
785;16.308;13.385
790;16.308;13.385
795;16.308;13.385
800;16.462;13.385
805;16.462;13.385
810;16.462;13.538
815;16.462;13.385
820;16.615;13.385
825;16.769;13.385
830;17.077;13.538
835;17.231;13.692
840;17.231;13.692
845;17.538;13.538
850;17.846;13.692
855;18.154;13.692
860;18.154;14.0
865;18.308;14.0
870;18.462;14.0
875;18.462;14.154
880;18.615;14.154
885;18.615;14.154
890;18.615;14.308
895;18.769;14.308
900;18.769;14.308
905;18.923;14.462
910;19.077;14.462
915;19.077;14.462
920;19.077;14.923
925;19.077;14.923
930;19.231;15.231
935;19.385;15.231
940;19.385;15.231
945;19.385;15.231
950;19.538;15.538
955;19.538;15.385
960;19.538;15.692
965;19.692;16.0
970;19.846;16.0
975;19.846;16.0
980;19.846;16.0
985;20.0;16.0
990;20.0;16.154
995;19.846;16.308
1000;19.692;16.308
1005;19.692;16.462
1010;19.538;16.615
1015;19.538;16.615
1020;19.692;16.615
1025;19.692;16.769
1030;19.846;16.769
1035;19.846;17.077
1040;20.0;17.077
1045;20.0;16.923
1050;20.0;16.923
1055;20.0;16.769
1060;20.0;16.923
1065;20.154;16.923
1070;20.154;16.923
1075;19.846;16.923
1080;20.154;16.923
1085;20.308;16.923
1090;20.615;17.077
1095;20.615;17.077
1100;20.615;17.077
1105;20.615;17.077
1110;20.769;17.077
1115;20.769;17.077
1120;21.077;17.077
